"Saison";"Sptag";"Heim";"Auswaerts";"ToreH";"ToreA";"TorminH";"TorminA";"GelbH";"GelbRotH";"RotH";"MinH";"GelbA";"GelbRotA";"RotA";"MinA"
1996;21;"vfbstuttgart";"klautern";2;0;"58/83";"";0;0;0;"";1;0;0;""
1996;21;"rostock";"duesseldorf";0;0;"";"";2;0;0;"";4;0;0;""
1996;21;"stpauli";"leverkusen";2;1;"61/85";"74";2;0;0;"";2;0;0;""
1996;22;"hamburg";"duesseldorf";4;1;"57/66/77/84";"89";0;0;0;"";2;0;0;""
1996;22;"leverkusen";"vfbstuttgart";0;0;"";"";4;0;0;"";1;0;0;""
1996;22;"dortmund";"stpauli";1;0;"63";"";3;0;0;"";3;0;0;""
1996;22;"freiburg";"bmuenchen";3;1;"43/51/88";"16";1;0;0;"";3;0;1;"89"
1996;22;"klautern";"frankfurt";1;1;"48";"89";4;0;0;"";3;0;0;""
1996;22;"karlsruhe";"schalke";0;1;"";"39";3;0;0;"";0;0;0;""
1996;22;"1860muenchen";"bremen";1;1;"20";"75";2;0;0;"";2;0;0;""
1996;22;"uerdingen";"fckoeln";1;1;"2";"78";3;0;1;"82";4;1;1;"83/65"
1996;22;"mgladbach";"rostock";3;2;"17/24/49";"22/63";1;0;0;"";1;0;0;""
1996;23;"bremen";"freiburg";0;2;"";"53/90";2;0;0;"";3;1;0;"90"
1996;23;"fckoeln";"1860muenchen";2;0;"47/80";"";2;0;0;"";3;0;0;""
1996;23;"frankfurt";"leverkusen";1;1;"89";"90";4;0;0;"";3;0;0;""
1996;23;"bmuenchen";"klautern";2;0;"12/67";"";1;1;0;"87";2;1;0;"53"
1996;23;"schalke";"uerdingen";1;1;"68";"78";5;0;0;"";4;0;0;""
1996;23;"stpauli";"mgladbach";0;2;"";"53/87";1;0;1;"25";2;0;0;""
1996;23;"vfbstuttgart";"dortmund";0;5;"";"17/41/51/78/80";2;0;0;"";3;0;0;""
1996;23;"duesseldorf";"karlsruhe";2;0;"24/90";"";2;0;0;"";2;1;0;"74"
1996;23;"rostock";"hamburg";2;0;"12/25";"";0;0;0;"";4;1;0;"50"
1996;24;"karlsruhe";"hamburg";3;1;"21/27/90";"1";1;0;0;"";2;0;0;""
1996;24;"1860muenchen";"schalke";1;1;"28";"84";2;0;0;"";5;0;0;""
1996;24;"dortmund";"frankfurt";6;0;"27/45/47/53/59/66";"";1;0;0;"";3;1;0;"41"
1996;24;"freiburg";"fckoeln";2;0;"68/80";"";2;0;0;"";3;2;0;"64/72"
1996;24;"klautern";"bremen";0;0;"";"";1;0;0;"";2;0;0;""
1996;24;"leverkusen";"bmuenchen";1;2;"41";"40/55";1;0;0;"";3;0;0;""
1996;24;"uerdingen";"duesseldorf";1;3;"43";"15/49/86";3;0;0;"";1;0;0;""
1996;24;"mgladbach";"vfbstuttgart";1;1;"69";"14";1;0;0;"";2;1;0;"47"
1996;24;"stpauli";"rostock";3;2;"12/37/88";"2/72";2;0;0;"";3;0;0;""
1996;25;"hamburg";"uerdingen";0;0;"";"";3;0;0;"";5;0;0;""
1996;25;"fckoeln";"klautern";0;1;"";"9";2;0;0;"";1;0;0;""
1996;25;"bremen";"leverkusen";2;1;"4/79";"56";1;0;0;"";2;0;0;""
1996;25;"frankfurt";"mgladbach";0;2;"";"2/40";4;0;0;"";1;0;0;""
1996;25;"rostock";"karlsruhe";1;1;"57";"72";1;0;0;"";4;0;0;""
1996;25;"schalke";"freiburg";3;0;"18/49/60";"";1;0;0;"";4;0;0;""
1996;25;"vfbstuttgart";"stpauli";1;1;"19";"71";3;0;1;"12";3;0;0;""
1996;25;"bmuenchen";"dortmund";1;0;"38";"";3;0;0;"";3;0;0;""
1996;25;"duesseldorf";"1860muenchen";1;1;"57";"58";2;0;0;"";0;0;0;""
1996;26;"klautern";"schalke";0;0;"";"";1;0;0;"";1;0;0;""
1996;26;"vfbstuttgart";"rostock";1;1;"29";"62";4;0;0;"";2;1;0;"75"
1996;26;"uerdingen";"karlsruhe";2;3;"21/61";"49/71/87";2;0;0;"";5;1;0;"58"
1996;26;"dortmund";"bremen";1;1;"14";"37";2;0;0;"";2;0;0;""
1996;26;"freiburg";"duesseldorf";1;1;"45";"88";1;0;0;"";4;0;0;""
1996;26;"leverkusen";"fckoeln";1;2;"30";"10/87";1;0;0;"";3;0;0;""
1996;26;"1860muenchen";"hamburg";5;0;"26/42/68/72/85";"";3;0;0;"";1;0;0;""
1996;26;"stpauli";"frankfurt";2;1;"30/49";"24";3;0;0;"";2;0;0;""
1996;26;"mgladbach";"bmuenchen";3;1;"21/43/89";"34";1;0;0;"";2;0;0;""
1996;27;"rostock";"uerdingen";1;0;"48";"";2;0;0;"";6;0;0;""
1996;27;"frankfurt";"vfbstuttgart";2;2;"27/42";"2/5";1;0;0;"";3;0;0;""
1996;27;"karlsruhe";"1860muenchen";1;1;"32";"49";1;0;0;"";2;0;0;""
1996;27;"fckoeln";"dortmund";0;0;"";"";2;0;0;"";1;0;0;""
1996;27;"schalke";"leverkusen";1;1;"90";"6";1;0;0;"";3;2;1;"63/28/27"
1996;27;"bremen";"mgladbach";2;0;"3/82";"";2;0;0;"";3;1;0;"52"
1996;27;"duesseldorf";"klautern";2;1;"70/73";"34";2;0;0;"";3;0;0;""
1996;27;"hamburg";"freiburg";0;0;"";"";1;0;0;"";3;0;0;""
1996;27;"bmuenchen";"stpauli";1;1;"90";"43";1;0;0;"";2;0;0;""
1996;28;"frankfurt";"rostock";1;3;"40";"9/46/74";2;0;0;"";1;0;0;""
1996;28;"1860muenchen";"uerdingen";2;1;"47/56";"38";3;1;0;"55";3;0;0;""
1996;28;"dortmund";"schalke";0;0;"";"";1;0;0;"";3;0;0;""
1996;28;"freiburg";"karlsruhe";0;3;"";"10/25/78";2;0;0;"";3;0;0;""
1996;28;"klautern";"hamburg";1;2;"87";"11/65";3;0;0;"";1;0;0;""
1996;28;"mgladbach";"fckoeln";2;1;"45/75";"60";2;0;0;"";2;1;1;"64/50"
1996;28;"stpauli";"bremen";1;2;"90";"45/51";2;0;0;"";2;0;0;""
1996;28;"vfbstuttgart";"bmuenchen";0;1;"";"48";4;0;0;"";2;0;1;"30"
1996;28;"leverkusen";"duesseldorf";0;0;"";"";2;0;1;"51";2;0;0;""
1996;29;"karlsruhe";"klautern";0;0;"";"";2;0;0;"";5;0;0;""
1996;29;"uerdingen";"freiburg";3;1;"4/77/84";"79";1;0;0;"";3;0;0;""
1996;29;"bremen";"vfbstuttgart";2;2;"2/51";"57/87";1;0;0;"";2;0;0;""
1996;29;"duesseldorf";"dortmund";1;2;"31";"36/38";2;0;0;"";2;0;0;""
1996;29;"fckoeln";"stpauli";1;0;"86";"";2;0;0;"";1;0;0;""
1996;29;"bmuenchen";"frankfurt";1;1;"48";"30";4;0;0;"";2;0;0;""
1996;29;"rostock";"1860muenchen";0;3;"";"42/73/82";0;0;0;"";2;0;0;""
1996;29;"schalke";"mgladbach";3;3;"13/51/54";"6/18/47";3;0;0;"";5;0;0;""
1996;29;"hamburg";"leverkusen";2;2;"20/87";"41/71";3;0;0;"";1;0;0;""
1996;30;"klautern";"uerdingen";3;0;"4/37/72";"";2;0;0;"";1;0;0;""
1996;30;"stpauli";"schalke";2;0;"1/16";"";2;0;0;"";4;0;0;""
1996;30;"dortmund";"hamburg";1;1;"39";"44";1;0;0;"";3;0;0;""
1996;30;"frankfurt";"bremen";1;0;"58";"";2;0;0;"";3;0;0;""
1996;30;"freiburg";"1860muenchen";1;0;"46";"";4;0;0;"";2;0;0;""
1996;30;"leverkusen";"karlsruhe";1;2;"22";"1/54";0;0;0;"";3;0;0;""
1996;30;"bmuenchen";"rostock";0;1;"";"63";4;0;0;"";2;0;0;""
1996;30;"vfbstuttgart";"fckoeln";0;1;"";"56";2;0;0;"";2;0;0;""
1996;30;"mgladbach";"duesseldorf";1;1;"82";"37";2;0;1;"55";2;1;0;"81"
1996;31;"rostock";"freiburg";1;0;"49";"";0;0;0;"";1;0;0;""
1996;31;"karlsruhe";"dortmund";5;0;"6/62/64/69/87";"";2;0;0;"";2;0;0;""
1996;31;"schalke";"vfbstuttgart";2;0;"66/90";"";1;0;0;"";5;0;0;""
