Titel;Ort;Erscheinungsweise;Quartal;Verbreitung;Verkauf;DAGesamt
in Das STAR & STYLE Magazin;Berlin;woe;20092;236284;232940;353092
in Das STAR & STYLE Magazin;Berlin;woe;20093;298294;294711;419462
in Das STAR & STYLE Magazin;Berlin;woe;20094;221634;217744;378593
inTOUCH;Hamburg;woe;20061;221310;220134;443492
inTOUCH;Hamburg;woe;20062;289808;256461;492209
inTOUCH;Hamburg;woe;20063;313476;275585;487846
inTOUCH;Hamburg;woe;20064;252238;249394;441186
inTOUCH;Hamburg;woe;20071;263001;257169;423177
inTOUCH;Hamburg;woe;20072;277329;273931;444962
inTOUCH;Hamburg;woe;20073;338179;334820;504100
inTOUCH;Hamburg;woe;20074;294205;291173;491786
inTOUCH;Hamburg;woe;20081;315532;312435;532008
inTOUCH;Hamburg;woe;20082;295214;292200;470831
inTOUCH;Hamburg;woe;20083;338238;334535;492332
inTOUCH;Hamburg;woe;20084;279891;276512;435823
inTOUCH;Hamburg;woe;20091;312286;309439;445838
inTOUCH;Hamburg;woe;20092;349212;346725;504862
inTOUCH;Hamburg;woe;20093;383020;380512;564162
inTOUCH;Hamburg;woe;20094;297396;295261;479232
Kolpingmagazin;Köln;mtl;19981;196708;194100;199637
Kolpingmagazin;Köln;mtl;19982;196216;193191;198477
Kolpingmagazin;Köln;mtl;19983;196016;193107;198165
Kolpingmagazin;Köln;mtl;19984;195772;192371;198035
Kolpingmagazin;Köln;mtl;19991;194713;191687;197033
Kolpingmagazin;Köln;mtl;19992;194491;191378;196633
Kolpingmagazin;Köln;mtl;19993;194412;191513;196400
Kolpingmagazin;Köln;mtl;19994;194317;190236;196500
Kolpingmagazin;Köln;mtl;20001;193636;193636;196400
Kolpingmagazin;Köln;mtl;20002;193572;190650;196800
Kolpingmagazin;Köln;mtl;20003;193579;190745;196250
Kolpingmagazin;Köln;mtl;20004;194848;188804;197710
Kolpingmagazin;Köln;mtl;20011;192587;189451;195267
Kolpingmagazin;Köln;mtl;20012;192397;189156;194133
Kolpingmagazin;Köln;mtl;20013;192301;189021;194550
Kolpingmagazin;Köln;mtl;20014;191736;188416;194333
Kolpingmagazin;Köln;mtl;20021;191192;187872;193667
Kolpingmagazin;Köln;mtl;20022;190849;187915;193400
Kolpingmagazin;Köln;mtl;20023;190901;187666;193400
Kolpingmagazin;Köln;mtl;20024;190510;187151;192933
Kolpingmagazin;Köln;mtl;20031;189818;186397;192367
Kolpingmagazin;Köln;mtl;20032;189235;186136;191700
Kolpingmagazin;Köln;mtl;20033;189246;185975;191600
Kolpingmagazin;Köln;mtl;20034;188809;185174;191133
Kolpingmagazin;Köln;mtl;20041;187597;184086;190000
Kolpingmagazin;Köln;mtl;20042;187065;183988;189183
Kolpingmagazin;Köln;mtl;20043;187034;184089;189050
Kolpingmagazin;Köln;mtl;20044;193281;190655;195467
Kolpingmagazin;Köln;mtl;20051;192108;189659;193762
Kolpingmagazin;Köln;mtl;20051;192108;191064;193762
Kolpingmagazin;Köln;mtl;20052;189724;187322;191333
Kolpingmagazin;Köln;mtl;20052;189724;188707;191333
Kolpingmagazin;Köln;mtl;20053;188947;187803;190647
